,n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr,fkgl,fkre,a_kup_ps,a_kup_pw,t_bry
1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1025,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1026,5,7,6,9,2,5,1,18,0,4,17,0,11,4,0,15,4,4,6,6,4,2,3,1,15,0,2,9,0,5,3,0,11,2,16.167,69.048,5.098,4.461,91.871,76.342,4.722,414.287
1027,3,5,2,5,3,2,0,9,0,1,5,1,6,2,0,9,1,3,4,2,2,1,2,0,7,0,1,3,1,3,1,0,7,1,16.0,63.535,3.878,8.596,61.933,77.54,4.846,190.604
1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1029,10,7,6,7,2,7,0,12,1,3,11,3,9,5,0,10,2,10,4,6,2,1,5,0,10,1,2,6,3,3,3,0,8,2,28.667,116.693,4.88,10.82,68.545,128.873,4.496,350.078
1030,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1034,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1035,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1036,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1037,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1038,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1040,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1041,0,6,3,5,2,0,1,5,0,0,10,0,5,0,0,7,2,0,3,3,4,1,0,1,5,0,0,6,0,3,0,0,6,1,13.667,60.681,3.644,6.145,75.349,64.49,4.719,182.043
1042,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
1043,20,25,19,15,9,19,1,32,5,4,30,3,25,3,0,31,5,17,9,14,5,3,6,1,21,3,2,11,1,4,3,0,20,1,13.0,45.611,5.47,4.27,87.603,60.812,4.678,775.38
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-15.59,206.835,0.0,0.0,0.0
1046,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,6.0,2.121,20.2,-47.98,5.67,5.67,6.0
